table_name,column_name
spawning,autoctr
spawning,StockCode
spawning,SpecCode
spawning,SpawningRefNo
spawning,SourceRef
spawning,C_Code
spawning,E_CODE
spawning,SpawningGround
spawning,Spawningarea
spawning,Jan
spawning,Feb
spawning,Mar
spawning,Apr
spawning,May
spawning,Jun
spawning,Jul
spawning,Aug
spawning,Sep
spawning,Oct
spawning,Nov
spawning,Dec
spawning,GSI
spawning,PercentFemales
spawning,TempLow
spawning,TempHigh
spawning,SexRatiomid
spawning,SexRmodRef
spawning,FecundityMin
spawning,WeightMin
spawning,LengthFecunMin
spawning,LengthTypeFecMin
spawning,FecundityRef
spawning,FecundityMax
spawning,WeightMax
spawning,LengthFecunMax
spawning,LengthTypeFecMax
spawning,FecComment
spawning,SpawningCycles
spawning,SpCycleRef
spawning,GestationMin
spawning,GestationMinRef
spawning,GestationMax
spawning,GestationMaxRef
spawning,LengthOffspringMin
spawning,LengthOffMinRef
spawning,LengthOffspringMax
spawning,LengthOffMaxRef
spawning,RelFecundityMin
spawning,FecunMinRef
spawning,RelFecundityMean
spawning,FecunMeanRef
spawning,RelFecundityMax
spawning,FecunMaxRef
spawning,LengthMin
spawning,LengthMax
spawning,LengthType
spawning,Number
spawning,a
spawning,b
spawning,CorrCoeff
spawning,Dailyspawnmin
spawning,SpawnMinRef
spawning,Dailyspawnmean
spawning,SpawnMeanRef
spawning,Dailyspawnmax
spawning,SpawnMaxRef
spawning,Entered
spawning,Dateentered
spawning,Modified
spawning,Datemodified
spawning,Expert
spawning,Datechecked
spawning,AddInfos
spawning,TS
