table_name,column_name
esortcatchesspec,FAO
esortcatchesspec,SpecCode
esortcatchesspec,StockCode
esortcatchesspec,ISSCAAP
esortcatchesspec,Scientific
esortcatchesspec,English
esortcatchesspec,French
esortcatchesspec,Spanish
esortcatchesspec,Country
esortcatchesspec,C_Code
esortcatchesspec,Arecode
esortcatchesspec,AreaCode
esortcatchesspec,s1950
esortcatchesspec,s1951
esortcatchesspec,s1952
esortcatchesspec,s1953
esortcatchesspec,s1954
esortcatchesspec,s1955
esortcatchesspec,s1956
esortcatchesspec,s1957
esortcatchesspec,s1958
esortcatchesspec,s1959
esortcatchesspec,s1960
esortcatchesspec,s1961
esortcatchesspec,s1962
esortcatchesspec,s1963
esortcatchesspec,s1964
esortcatchesspec,s1965
esortcatchesspec,s1966
esortcatchesspec,s1967
esortcatchesspec,s1968
esortcatchesspec,s1969
esortcatchesspec,s1970
esortcatchesspec,s1971
esortcatchesspec,s1972
esortcatchesspec,s1973
esortcatchesspec,s1974
esortcatchesspec,s1975
esortcatchesspec,s1976
esortcatchesspec,s1977
esortcatchesspec,s1978
esortcatchesspec,s1979
esortcatchesspec,s1980
esortcatchesspec,s1981
esortcatchesspec,s1982
esortcatchesspec,s1983
esortcatchesspec,s1984
esortcatchesspec,s1985
esortcatchesspec,s1986
esortcatchesspec,s1987
esortcatchesspec,s1988
esortcatchesspec,s1989
esortcatchesspec,s1990
esortcatchesspec,s1991
esortcatchesspec,s1992
esortcatchesspec,s1993
esortcatchesspec,s1994
esortcatchesspec,s1995
esortcatchesspec,s1996
esortcatchesspec,s1997
esortcatchesspec,s1998
esortcatchesspec,s1999
esortcatchesspec,s2000
esortcatchesspec,s2001
esortcatchesspec,s2002
esortcatchesspec,s2003
esortcatchesspec,s2004
esortcatchesspec,s2005
esortcatchesspec,s2006
esortcatchesspec,s2007
esortcatchesspec,s2008
esortcatchesspec,s2009
esortcatchesspec,s2010
esortcatchesspec,s2011
