table_name,column_name
countref.old,PAESE
countref.old,Note
countref.old,C_Code
countref.old,ABB
countref.old,ISO_Code
countref.old,ISO3Alpha
countref.old,ISO2Alpha
countref.old,SAUP_Code
countref.old,Used
countref.old,Capital
countref.old,LatDeg
countref.old,LatMin
countref.old,NorthSouth
countref.old,LongDeg
countref.old,LongMin
countref.old,EastWest
countref.old,Remark
countref.old,PolarBoreal
countref.old,Temperate
countref.old,Subtropical
countref.old,Tropical
countref.old,Landlocked
countref.old,GeographicArea
countref.old,Region
countref.old,Continent
countref.old,AreaCodeInland
countref.old,FAOAreaInland
countref.old,AreaCodeMarineI
countref.old,FAOAreaMarineI
countref.old,AreaCodeMarineII
countref.old,FAOAreaMarineII
countref.old,AreaCodeMarineIII
countref.old,FAOAreaMarineIII
countref.old,AreaCodeMarineIV
countref.old,FAOAreaMarineIV
countref.old,AreaCodeMarineV
countref.old,FAOAreaMarineV
countref.old,Population
countref.old,PopulationYear
countref.old,PopulationRate
countref.old,PopulationRef
countref.old,CoastalPopulation
countref.old,CoastPopRef
countref.old,Area
countref.old,Coastline
countref.old,CoastlineRef
countref.old,ShelfArea
countref.old,ShelfRef
countref.old,EECarea
countref.old,EEZRef
countref.old,Language
countref.old,Currency
countref.old,MarineCount
countref.old,MarineFamCount
countref.old,CompleteMarine
countref.old,MarineLit
countref.old,MarineFamLit
countref.old,CheckMarineRef
countref.old,MarineFlag
countref.old,FreshwaterCount
countref.old,FreshFamCount
countref.old,CompleteFresh
countref.old,FreshwaterLit
countref.old,FreshFamLit
countref.old,CheckFreshRef
countref.old,FreshFlag
countref.old,TotalCount
countref.old,TotalFamCount
countref.old,TotalComplete
countref.old,TotalLit
countref.old,TotalFamLit
countref.old,TotalRef
countref.old,LastUpdate
countref.old,MorphCountFresh
countref.old,OccurCountFresh
countref.old,PicCountFresh
countref.old,GrowthCountFresh
countref.old,FoodCountFresh
countref.old,DietCountFresh
countref.old,ReproductionCountFresh
countref.old,SpawningCountFresh
countref.old,MorphCountMarine
countref.old,OccurCountMarine
countref.old,PicCountMarine
countref.old,GrowthCountMarine
countref.old,FoodCountMarine
countref.old,DietCountMarine
countref.old,ReproductionCountMarine
countref.old,SpawningCountMarine
countref.old,LatDegFill
countref.old,LatMinFill
countref.old,NorthSouthFill
countref.old,LongDegFill
countref.old,LongMinFill
countref.old,EastWestFill
countref.old,MLatDegFill
countref.old,MLatMinFill
countref.old,MNorthSouthFill
countref.old,MLongDegFill
countref.old,MLongMinFill
countref.old,MEastWestFill
countref.old,MLatDegFill2
countref.old,MLatMinFill2
countref.old,MNorthSouthFill2
countref.old,MLongDegFill2
countref.old,MLongMinFill2
countref.old,MEastWestFill2
countref.old,MLatDegFill3
countref.old,MLatMinFill3
countref.old,MNorthSouthFill3
countref.old,MLongDegFill3
countref.old,MLongMinFill3
countref.old,MEastWestFill3
countref.old,MLatDegFill4
countref.old,MLatMinFill4
countref.old,MNorthSouthFill4
countref.old,MLongDegFill4
countref.old,MLongMinFill4
countref.old,MEastWestFill4
countref.old,MLatDegFill5
countref.old,MLatMinFill5
countref.old,MNorthSouthFill5
countref.old,MLongDegFill5
countref.old,MLongMinFill5
countref.old,MEastWestFill5
countref.old,NorthernLatitude
countref.old,NorthernLatitudeNS
countref.old,SouthernLatitude
countref.old,SouthernLatitudeNS
countref.old,WesternLongitude
countref.old,WesternLongitudeEW
countref.old,EasternLongitude
countref.old,EasternLongitudeEW
countref.old,CenterLat
countref.old,CenterLong
countref.old,OtherLanguage
countref.old,Geography
countref.old,GeographyRef
countref.old,Hydrography
countref.old,HydrographyRef
countref.old,CommentFresh
countref.old,RefFresh1
countref.old,RefFresh2
countref.old,RefFresh3
countref.old,FreshPrimary
countref.old,FreshSecondary
countref.old,FreshInto
countref.old,InFisheriesReported
countref.old,InFisheriesPotential
countref.old,InAquaReported
countref.old,InAquaPotential
countref.old,ExportReported
countref.old,ExportPotential
countref.old,SportReported
countref.old,SportPotential
countref.old,EndemicReported
countref.old,EndemicPotential
countref.old,Threatened
countref.old,ProtectedReported
countref.old,ProtectedPotential
countref.old,ACP
countref.old,Developed
countref.old,Marine
countref.old,Brackish
countref.old,MarineInto
countref.old,MarineInFisheriesReported
countref.old,MarineInFisheriesPotential
countref.old,MarineInAquaReported
countref.old,MarineInAquaPotential
countref.old,MarineExportReported
countref.old,MarineExportPotential
countref.old,MarineSportReported
countref.old,MarineSportPotential
countref.old,MarineEndemicReported
countref.old,MarineEndemicPotential
countref.old,MarineThreatened
countref.old,MarineProtectedReported
countref.old,MarineProtectedPotential
countref.old,NatFishDB
countref.old,NatFishDB2
countref.old,Factbook
countref.old,NatFishAut
countref.old,TradeNames
countref.old,Entered
countref.old,DateEntered
countref.old,Modified
countref.old,DateModified
countref.old,Expert
countref.old,DateChecked
countref.old,Greek_original
countref.old,Greek
countref.old,RUSSIAN_original
countref.old,RUSSIAN
countref.old,FRENCH
countref.old,SPANISH
countref.old,GERMAN
countref.old,DUTCH
countref.old,PORTUGUESE
countref.old,ITALIAN
countref.old,SWEDISH
countref.old,TS
