table_name,column_name
genera,GenCode
genera,GEN_NAME
genera,AuthorYear
genera,SUBGEN
genera,CommonName
genera,AUTH
genera,QUALIFICATION
genera,YR
genera,GenusRefno
genera,Gender
genera,FB_Status1
genera,FB_Status2
genera,FB_CURR_GEN
genera,FB_NbSpp
genera,Famcode
genera,Subfamily
genera,Tribe
genera,Syncode
genera,CAS_GEN
genera,CAS_REF_NO
genera,STAT_CODE
genera,STAT_CODE1
genera,LineageID
genera,CurrentGenusID
genera,TimeStamp
genera,Etymology
genera,Distribution
genera,Habitat
genera,WaterSalinity
genera,Marine
genera,Brackish
genera,Freshwater
genera,Comment
genera,Diagnosis
genera,DspinesMin
genera,DspinesMax
genera,DsoftRaysMin
genera,DsoftRaysMax
genera,TotalDsoftRaysMin
genera,TotalDsoftRaysMax
genera,DsoftRaysBranchMin
genera,DsoftRaysBranchMax
genera,AspinesMin
genera,AspinesMax
genera,AsoftRaysMin
genera,AsoftRaysMax
genera,TotalAsoftRaysMin
genera,TotalAsoftRaysMax
genera,AsoftRaysBranchMin
genera,AsoftRaysBranchMax
genera,Entered
genera,Dateentered
genera,Modified
genera,Datemodified
genera,Expert
genera,Datechecked
genera,Designation
genera,AuthorRef
genera,TaxonRank
genera,TS
