table_name,column_name
esortcountrycatches,FAO
esortcountrycatches,Scientific
esortcountrycatches,ISSCAAP
esortcountrycatches,SpecCode
esortcountrycatches,C_Code
esortcountrycatches,Arecode
esortcountrycatches,AreaCode
esortcountrycatches,s1950
esortcountrycatches,s1951
esortcountrycatches,s1952
esortcountrycatches,s1953
esortcountrycatches,s1954
esortcountrycatches,s1955
esortcountrycatches,s1956
esortcountrycatches,s1957
esortcountrycatches,s1958
esortcountrycatches,s1959
esortcountrycatches,s1960
esortcountrycatches,s1961
esortcountrycatches,s1962
esortcountrycatches,s1963
esortcountrycatches,s1964
esortcountrycatches,s1965
esortcountrycatches,s1966
esortcountrycatches,s1967
esortcountrycatches,s1968
esortcountrycatches,s1969
esortcountrycatches,s1970
esortcountrycatches,s1971
esortcountrycatches,s1972
esortcountrycatches,s1973
esortcountrycatches,s1974
esortcountrycatches,s1975
esortcountrycatches,s1976
esortcountrycatches,s1977
esortcountrycatches,s1978
esortcountrycatches,s1979
esortcountrycatches,s1980
esortcountrycatches,s1981
esortcountrycatches,s1982
esortcountrycatches,s1983
esortcountrycatches,s1984
esortcountrycatches,s1985
esortcountrycatches,s1986
esortcountrycatches,s1987
esortcountrycatches,s1988
esortcountrycatches,s1989
esortcountrycatches,s1990
esortcountrycatches,s1991
esortcountrycatches,s1992
esortcountrycatches,s1993
esortcountrycatches,s1994
esortcountrycatches,s1995
esortcountrycatches,s1996
esortcountrycatches,s1997
esortcountrycatches,s1998
esortcountrycatches,s1999
esortcountrycatches,s2000
esortcountrycatches,s2001
esortcountrycatches,s2002
esortcountrycatches,s2003
esortcountrycatches,s2004
esortcountrycatches,s2005
esortcountrycatches,s2006
esortcountrycatches,s2007
esortcountrycatches,s2008
esortcountrycatches,s2009
esortcountrycatches,s2010
esortcountrycatches,s2011
esortcountrycatches,Country
