table_name,column_name
occurrence,catnum2
occurrence,OccurrenceRefNo
occurrence,SpecCode
occurrence,GenusCol
occurrence,SpeciesCol
occurrence,ColName
occurrence,PicName
occurrence,CatNum
occurrence,URL
occurrence,Station
occurrence,Gazetteer
occurrence,LocalityType
occurrence,WaterDepthMin
occurrence,WaterDepthMax
occurrence,AltitudeMin
occurrence,AltitudeMax
occurrence,LatitudeDeg
occurrence,LatitudeMin
occurrence,NorthSouth
occurrence,LatitudeDec
occurrence,LongitudeDeg
occurrence,LongitudeMIn
occurrence,EastWest
occurrence,LongitudeDec
occurrence,Accuracy
occurrence,Salinity
occurrence,LatitudeDegTo
occurrence,LatitudeMinTo
occurrence,NorthSouthTo
occurrence,LongitudeDegTo
occurrence,LongitudeMInTo
occurrence,EastWestTo
occurrence,Temp
occurrence,AreaCode
occurrence,SeaDrainage
occurrence,C_Code
occurrence,Province
occurrence,Date
occurrence,DateTo
occurrence,Year
occurrence,DateType
occurrence,DayTimeStart
occurrence,DayTimeStop
occurrence,Length
occurrence,LengthType
occurrence,Length2
occurrence,LengthType2
occurrence,Lengthmin
occurrence,Lengthmax
occurrence,Weight
occurrence,Number
occurrence,PercentCatch
occurrence,Abundance
occurrence,LiveStage
occurrence,Sex
occurrence,Bottom
occurrence,Gear
occurrence,Remark_FB
occurrence,Remark
occurrence,Vessel
occurrence,Expedition
occurrence,Collector
occurrence,Identifier
occurrence,IdentifierStandard
occurrence,IdentifierYR
occurrence,QName
occurrence,QIdentifier
occurrence,QArea
occurrence,QCountry
occurrence,QCoordinates
occurrence,Type
occurrence,MS
occurrence,Storage
occurrence,RecordType
occurrence,BasisOfRecord
occurrence,CheckedCol
occurrence,Validity
occurrence,DateRecapture
occurrence,LatDegRel
occurrence,LatMinRel
occurrence,NorthSouthRel
occurrence,LongDegRel
occurrence,LongMinRel
occurrence,EastWestRel
occurrence,LengthRel
occurrence,LengthTypeRel
occurrence,WeightRel
occurrence,Entered
occurrence,DateEntered
occurrence,Modified
occurrence,DateModified
occurrence,Expert
occurrence,DateChecked
occurrence,Locality1
occurrence,TwoDegree30W
occurrence,OneDegree30W
occurrence,TenDegree30W
occurrence,CSquarecode
occurrence,PublishedDistance
occurrence,Info
occurrence,TS
